"","model","CICc","delta_CICc","relative likelihood","CICc weight","n of independence claims","n of parameters","C statistic","p-value"
"1","c",13.64,0,1,0.56,1,5,3.6,0.17
"2","b",15.62,1.98,0.37,0.21,1,5,5.58,0.06
"3","d",15.62,1.98,0.37,0.21,1,5,5.58,0.06
"4","g",20.31,6.67,0.04,0.02,1,5,10.27,0.01
"5","a",21.54,7.9,0.02,0.01,1,5,11.5,0
"6","k",27.22,13.59,0,0,2,4,19.2,0
"7","i",29.8,16.16,0,0,2,4,21.77,0
"8","f",29.9,16.26,0,0,1,5,19.86,0
"9","e",48.59,34.96,0,0,1,5,38.56,0
"10","l",52.71,39.07,0,0,2,4,44.68,0
"11","h",55.96,42.32,0,0,1,5,45.92,0
"12","j",65.44,51.81,0,0,2,4,57.42,0
"13","null",70.23,56.6,0,0,3,3,64.22,0
