"","Estimate","Est.Error","Q2.5","Q97.5","Glottocode","Verb_final","Free_word_order","Nominal_case","AUTOTYP_area","Longitude","Latitude","Glottocode2"
"hame1242",0.943576104243231,0.159567908007734,0.351097373383291,1,"hame1242","1","1","1","Greater Abyssinia",36.5176,5.06515,"hame1242"
"ikkk1242",0.0248442690718274,0.0999838576670152,1.2937559651593e-20,0.329532127266455,"ikkk1242","0","0","1","S Africa",34.2507,3.61407,"ikkk1242"
"sooo1256",0.0242247466154634,0.0970759360933417,7.34221584740004e-21,0.32747015408186,"sooo1256","0","0","0","S Africa",34.7595,2.58367,"sooo1256"
"hoaa1235",0.0394373546146076,0.133593205602244,1.69768538819935e-22,0.525540350214106,"hoaa1235","0","0","0","S Africa",24.69828,-23.93447,"hoaa1235"
"motu1246",0.885983328551419,0.169895547182055,0.358482919182518,0.999874603578518,"motu1246","1","1","0","S New Guinea",147.424,-9.67492,"motu1246"
"lala1268",0.902474256987496,0.150250356242737,0.428649490396687,0.999869685191364,"lala1268","1","0","0","S New Guinea",146.749,-8.93195,"lala1268"
"meke1243",0.906230385315399,0.143786502515096,0.456196410114373,0.999869768619545,"meke1243","1","1","0","S New Guinea",146.586,-8.23853,"meke1243"
"waim1251",0.905100996644416,0.146018438031463,0.449865878216554,0.999865877129107,"waim1251","1","1","0","S New Guinea",146.544,-8.67145,"waim1251"
"hula1239",0.904852040783145,0.14445926745526,0.450922329959002,0.999873486179248,"hula1239","1","1","1","S New Guinea",147.705,-9.99427,"hula1239"
"keap1239",0.905955115572552,0.141294113819337,0.47322848375981,0.999850299696054,"keap1239","1","1","1","S New Guinea",147.95,-10.1342,"keap1239"
"sina1266",0.894678038234939,0.157913998507379,0.407533996276401,0.999873101397942,"sina1266","1","1","0","S New Guinea",147.861,-9.79791,"sina1266"
"kili1267",0.394523647966639,0.292990934806362,0.00772301898944561,0.951063499074803,"kili1267","0","0","0","S New Guinea",151.072,-8.72574,"kili1267"
"misi1243",0.730470285868747,0.260712510086016,0.113349563690158,0.998168263940642,"misi1243","1","1","0","S New Guinea",152.696,-10.6821,"misi1243"
"idun1242",0.899566210583401,0.166169325557138,0.371205387188399,0.999960933276627,"idun1242","1","1","0","S New Guinea",150.24,-9.34361,"idun1242"
"kolu1245",0.900065784969491,0.16290493217919,0.381711733490674,0.999957840625708,"kolu1245","1","1","0","S New Guinea",150.462,-9.42742,"kolu1245"
"iama1237",0.895367875767997,0.167727101984678,0.360122681248999,0.999959234471375,"iama1237","1","1","0","S New Guinea",150.573,-9.45005,"iama1237"
"buna1276",0.884828571879629,0.180031898167589,0.322292740215555,0.999951332386306,"buna1276","1","1","0","S New Guinea",151.066,-10.0761,"buna1276"
"dobu1241",0.883663627210853,0.182189360379676,0.306185214511689,0.99995893707965,"dobu1241","1","1","0","S New Guinea",150.825,-9.63239,"dobu1241"
"guma1254",0.861698388231329,0.202763111085172,0.249676627026658,0.999943550453111,"guma1254","1","0","0","S New Guinea",150.762,-9.28497,"guma1254"
"aree1239",0.879926254778211,0.188306864170405,0.28977147106991,0.99995657295058,"aree1239","1","0","0","S New Guinea",149.999,-9.67147,"aree1239"
"gapa1238",0.880985680134386,0.185089756630157,0.303463729763811,0.999955506692447,"gapa1238","1","1","0","S New Guinea",149.854,-9.73317,"gapa1238"
"weda1241",0.885020537835688,0.180341319981779,0.323010626310571,0.999951813938668,"weda1241","1","1","0","S New Guinea",150.172,-10.1246,"weda1241"
"tawa1275",0.884417625656402,0.182611651670475,0.312082766201005,0.999965391613997,"tawa1275","1","0","0","S New Guinea",150.644,-10.3115,"tawa1275"
"buhu1237",0.814570659998485,0.234229800744936,0.169121737671525,0.999864172562339,"buhu1237","1","0","0","S New Guinea",150.18,-10.5074,"buhu1237"
"mais1250",0.816370828057068,0.234512162814441,0.164311055221378,0.999875189766774,"mais1250","1","0","0","S New Guinea",148.731,-9.22853,"mais1250"
"baba1268",0.0325322261358819,0.0867167481816056,7.5695645147103e-07,0.30373356626864,"baba1268","0","0","0","Oceania",157.149,-7.22281,"baba1268"
"sisi1250",0.03188075211366,0.0857396769103189,7.95221145421671e-07,0.293139781730224,"sisi1250","0","0","0","Oceania",156.83,-7,"sisi1250"
"hoav1238",0.0259285289042825,0.0709867130880914,8.36814650435952e-07,0.238655835923587,"hoav1238","0","0","0","Oceania",157.595,-8.19679,"hoav1238"
"kusa1251",0.0263158960847511,0.0725464118842348,7.24446368089278e-07,0.237323422196095,"kusa1251","0","0","0","Oceania",157.463,-8.04056,"kusa1251"
"rovi1238",0.0288261986023014,0.0790835758868097,8.2768048354309e-07,0.279976376714402,"rovi1238","0","0","0","Oceania",157.408,-8.20493,"rovi1238"
"blab1237",0.0852046861802154,0.143803689488505,7.74494535064692e-05,0.545369488013234,"blab1237","0","1","0","Oceania",159.419,-8.15058,"blab1237"
"koko1269",0.0842465911594936,0.142568392113694,7.27107682323615e-05,0.540189307104387,"koko1269","0","1","0","Oceania",159.191,-8.16481,"koko1269"
"chek1238",0.0947939308952272,0.154731716224703,7.70170524032273e-05,0.583341963660881,"chek1238","0","0","0","Oceania",159.625,-8.27055,"chek1238"
"mono1273",0.548821743604876,0.282070929732948,0.0523446790071252,0.980438860886195,"mono1273","1","0","0","Oceania",155.76,-7.05102,"mono1273"
"tora1259",0.550677363951941,0.282359186553531,0.0502479489732497,0.980580914257127,"tora1259","1","0","0","Oceania",155.496,-6.19922,"tora1259"
"zaba1237",0.207058239372154,0.219689216796323,0.00168699697765104,0.790588466823705,"zaba1237","0","0","0","Oceania",158.753,-7.74311,"zaba1237"
"bann1247",0.0386265549285701,0.104714114920239,5.63756040217255e-07,0.377167071457668,"bann1247","0","1","0","Oceania",155.128,-6.23061,"bann1247"
"teop1238",0.0316014647500217,0.0912912307313084,6.24100053615165e-07,0.30816711996368,"teop1238","0","1","0","Oceania",154.971,-5.67474,"teop1238"
"sapo1253",0.0333767400204221,0.0950802799968544,4.81049167124828e-07,0.331257967054813,"sapo1253","0","0","0","Oceania",154.732,-5.64103,"sapo1253"
"hali1244",0.0326670238288893,0.093133851568169,5.80060905141707e-07,0.313188397602455,"hali1244","0","0","0","Oceania",154.662,-5.26603,"hali1244"
"neha1247",0.0269059220753667,0.0775884301865992,6.32904385246636e-07,0.250479034761862,"neha1247","0","1","0","Oceania",154.2,-4.56875,"neha1247"
"papa1265",0.0286130462971496,0.0822642714889688,5.276397833318e-07,0.27433489580436,"papa1265","0","1","0","Oceania",155.289,-5.92283,"papa1265"
"siar1238",0.0364706541480627,0.0995951705981638,4.72876725217058e-07,0.368915206685151,"siar1238","0","0","0","N Coast New Guinea",152.892,-4.62059,"siar1238"
"ramo1244",0.0377183563029495,0.1013118292311,4.43217274108224e-07,0.368196403784166,"ramo1244","0","0","0","N Coast New Guinea",152.451,-4.17306,"ramo1244"
"kuan1248",0.0306641262682285,0.0874080281163849,4.50130837707262e-07,0.303832107188384,"kuan1248","0","0","0","N Coast New Guinea",152.114,-4.30986,"kuan1248"
"mini1251",0.0306445167263683,0.0893011325309125,3.83682940035802e-07,0.309821854346066,"mini1251","0","0","0","N Coast New Guinea",152.005,-4.31803,"mini1251"
"patp1243",0.0332751728834357,0.0943371330754742,3.90448601740031e-07,0.322989467661974,"patp1243","0","0","0","N Coast New Guinea",152.493,-3.74711,"patp1243"
"baro1253",0.0333533214411575,0.0924437008000598,4.54461295886587e-07,0.323277870796255,"baro1253","0","0","0","N Coast New Guinea",152.193,-3.47672,"baro1253"
"mada1285",0.0340375909393976,0.0917898607183571,4.00870854678232e-07,0.332042555106656,"mada1285","0","0","0","N Coast New Guinea",151.967,-3.34342,"mada1285"
"kara1486",0.0313226970284988,0.0918833909464976,3.40222990055845e-07,0.312398902245124,"kara1486","0","0","0","N Coast New Guinea",151.111,-2.81957,"kara1486"
"nali1244",0.0327384025506048,0.0940397713139609,3.59235090627649e-07,0.322055870292852,"nali1244","0","0","0","N Coast New Guinea",151.332,-2.94411,"nali1244"
"tiga1245",0.0318218071257083,0.0903927561324397,3.75883693019143e-07,0.315671808300188,"tiga1245","0","0","0","N Coast New Guinea",150.893,-2.70951,"tiga1245"
"tung1290",0.0298665308078128,0.0861183935107579,4.20300701462478e-07,0.300443599195262,"tung1290","0","0","0","N Coast New Guinea",150.198,-2.52188,"tung1290"
"lihi1237",0.0260385285000529,0.0780226571061629,3.77540834156972e-07,0.251103272398497,"lihi1237","0","0","1","N Coast New Guinea",152.606,-3.18895,"lihi1237"
"nots1237",0.0256783905455882,0.0747058810632265,3.02031633091033e-07,0.250659070708814,"nots1237","0","0","0","N Coast New Guinea",151.661,-3.0557,"nots1237"
"mand1440",0.0267202071585921,0.0782352258196976,3.42025611218272e-07,0.256979825147741,"mand1440","0","0","0","N Coast New Guinea",151.956,-2.7828,"mand1440"
"bola1250",0.0279792760999241,0.0814936385790333,4.55130869208024e-07,0.273566748721579,"bola1250","0","0","0","N Coast New Guinea",150.095,-5.55792,"bola1250"
"mera1242",0.0260774017690281,0.074917599390801,4.25731438698988e-07,0.244280754968297,"mera1242","0","0","0","Oceania",151.528,-4.97468,"mera1242"
"naka1262",0.0265192593260121,0.0774593932423899,3.89740535857777e-07,0.253021818898415,"naka1262","0","0","0","N Coast New Guinea",150.888,-5.59931,"naka1262"
"mudu1242",0.0316449798740976,0.0896163826439241,3.74722964750508e-07,0.310831715303733,"mudu1242","0","0","0","N Coast New Guinea",149.489,-4.69751,"mudu1242"
"unea1237",0.0314382943081514,0.0877623137471724,3.88328691340426e-07,0.297704801799887,"unea1237","0","1","0","N Coast New Guinea",149.141,-4.89383,"unea1237"
"adze1240",0.0314374791834281,0.0895826767075515,5.74174623325637e-07,0.313377518731373,"adze1240","0","0","0","N Coast New Guinea",146.294,-6.39394,"adze1240"
"labu1248",0.0315389359494986,0.0896156042637974,5.16170342713823e-07,0.308274590398911,"labu1248","0","0","0","N Coast New Guinea",146.903,-6.75,"labu1248"
"midd1327",0.030402620446113,0.0861066697041286,5.24255615931065e-07,0.286774049532244,"midd1327","0","0","0","Interior New Guinea",146.399126,-6.88249,"midd1327"
"buga1250",0.0294302520156152,0.0833020490425201,5.57146843033432e-07,0.286738354683914,"buga1250","0","0","0","N Coast New Guinea",147.32,-6.67519,"buga1250"
"yabe1254",0.0288202701899636,0.0821129458852423,6.12665605598022e-07,0.277816472926003,"yabe1254","0","0","0","N Coast New Guinea",147.81,-6.67052,"yabe1254"
"pate1247",0.027008866155579,0.0778070910250558,6.7757001997482e-07,0.26158740824903,"pate1247","0","0","0","Interior New Guinea",146.639,-6.91988,"pate1247"
"mang1404",0.0264407646295045,0.0781486674356538,6.62045733276808e-07,0.244734090037011,"mang1404","0","1","0","Interior New Guinea",146.685,-6.99891,"mang1404"
"mapo1242",0.0279124069701484,0.0805398138191909,6.10486176730714e-07,0.26616661247725,"mapo1242","0","0","0","N Coast New Guinea",146.774,-6.86672,"mapo1242"
"hote1245",0.0303001482629351,0.0874974661573975,5.69648884437933e-07,0.292581469676378,"hote1245","0","0","0","Interior New Guinea",146.869,-7.07708,"hote1245"
"sobe1238",0.0442036987425813,0.111640176372293,8.22747486007714e-07,0.415769874758974,"sobe1238","0","1","0","N Coast New Guinea",138.75,-1.86998,"sobe1238"
"seng1281",0.0605318380293122,0.130604180268196,3.76054819869226e-06,0.49418627778861,"seng1281","0","0","0","N Coast New Guinea",149.784,-6.16474,"seng1281"
"amar1272",0.0532999759752163,0.120937890222802,3.61311391319926e-06,0.458249077038076,"amar1272","0","0","0","N Coast New Guinea",148.68,-5.55778,"amar1272"
"lamo1244",0.0433266750625947,0.0981167035835527,3.45887242878972e-06,0.351926049624445,"lamo1244","0","0","0","N Coast New Guinea",149.321,-5.87071,"lamo1244"
"mouk1239",0.0435683921594054,0.10082293161475,3.30774575625231e-06,0.3687171789921,"mouk1239","0","0","0","N Coast New Guinea",149.158,-5.71155,"mouk1239"
"arop1243",0.0530310377221916,0.116921154123416,5.64378543336427e-06,0.43594205251483,"arop1243","0","0","1","N Coast New Guinea",147.103,-5.31671,"arop1243"
"karn1252",0.0522029995562265,0.116267471750974,5.69336446363491e-06,0.43787085466131,"karn1252","0","0","0","N Coast New Guinea",147.917,-5.74133,"karn1252"
"lote1237",0.0432010915095767,0.10147818090897,4.8940715632262e-06,0.369385633917487,"lote1237","0","0","0","N Coast New Guinea",150.911,-5.954,"lote1237"
"meng1267",0.0439168362652433,0.101352427271446,4.42601290323847e-06,0.357035896412093,"meng1267","0","0","0","Oceania",151.373,-5.47036,"meng1267"
"male1289",0.0495900666032108,0.110647060913527,5.1286550743575e-06,0.414442296091114,"male1289","0","0","0","N Coast New Guinea",148.445,-5.61613,"male1289"
"mbul1263",0.048737387189104,0.110708667120768,4.91304723982579e-06,0.404618662871302,"mbul1263","0","0","0","N Coast New Guinea",148.041,-5.66965,"mbul1263"
