"","Estimate","Est.Error","Q2.5","Q97.5","Glottocode","Verb_final","Free_word_order","Nominal_case","AUTOTYP_area","Longitude","Latitude","Glottocode2"
"hame1242",0.488442628454061,0.185162419319205,0.151138424351213,0.842138950572957,"hame1242","1","1","1","Greater Abyssinia",36.5176,5.06515,"hame1242"
"ikkk1242",0.313545230841583,0.201541128949068,0.035660542686328,0.766014546988068,"ikkk1242","0","0","1","S Africa",34.2507,3.61407,"ikkk1242"
"sooo1256",0.34553620942626,0.20837160062741,0.0434950818904158,0.795109620034172,"sooo1256","0","0","0","S Africa",34.7595,2.58367,"sooo1256"
"hoaa1235",0.211637176504985,0.169573696221095,0.0147681296231308,0.643232132968186,"hoaa1235","0","0","0","S Africa",24.69828,-23.93447,"hoaa1235"
"motu1246",0.465457603513713,0.166652080079497,0.160951096616577,0.787633767301429,"motu1246","1","1","0","S New Guinea",147.424,-9.67492,"motu1246"
"lala1268",0.338489061290697,0.161669254393591,0.0807821580062191,0.695732489145363,"lala1268","1","0","0","S New Guinea",146.749,-8.93195,"lala1268"
"meke1243",0.322273459347006,0.153914130219025,0.0837731922568851,0.659660341990273,"meke1243","1","1","0","S New Guinea",146.586,-8.23853,"meke1243"
"waim1251",0.356463966875525,0.165632583678967,0.0899229586621558,0.714221049105409,"waim1251","1","1","0","S New Guinea",146.544,-8.67145,"waim1251"
"hula1239",0.555209956592316,0.174334140507695,0.211421533414472,0.863487669749164,"hula1239","1","1","1","S New Guinea",147.705,-9.99427,"hula1239"
"keap1239",0.554537379911062,0.18311376435398,0.197701568922347,0.876037679674068,"keap1239","1","1","1","S New Guinea",147.95,-10.1342,"keap1239"
"sina1266",0.510326017838778,0.165664054145195,0.195056589791303,0.817404381827131,"sina1266","1","1","0","S New Guinea",147.861,-9.79791,"sina1266"
"kili1267",0.414102715899597,0.204598953227164,0.080069616680774,0.825851238551903,"kili1267","0","0","0","S New Guinea",151.072,-8.72574,"kili1267"
"misi1243",0.648078036631674,0.214576078241188,0.188950343980125,0.958754272783052,"misi1243","1","1","0","S New Guinea",152.696,-10.6821,"misi1243"
"idun1242",0.557114209229687,0.164317935654283,0.232211025909167,0.849807553559804,"idun1242","1","1","0","S New Guinea",150.24,-9.34361,"idun1242"
"kolu1245",0.581948663868855,0.158982099720617,0.262738123126937,0.859609315962096,"kolu1245","1","1","0","S New Guinea",150.462,-9.42742,"kolu1245"
"iama1237",0.585172622673181,0.159893557875952,0.262079640122993,0.864109734201055,"iama1237","1","1","0","S New Guinea",150.573,-9.45005,"iama1237"
"buna1276",0.582162622406018,0.187331837897127,0.20541375768024,0.899732882704729,"buna1276","1","1","0","S New Guinea",151.066,-10.0761,"buna1276"
"dobu1241",0.592331582961667,0.167985738371284,0.251678692103744,0.879413344171217,"dobu1241","1","1","0","S New Guinea",150.825,-9.63239,"dobu1241"
"guma1254",0.546622802258826,0.173980042543944,0.207903650187293,0.859008275890985,"guma1254","1","0","0","S New Guinea",150.762,-9.28497,"guma1254"
"aree1239",0.49552882876646,0.15737434011226,0.198805524964372,0.791353309641605,"aree1239","1","0","0","S New Guinea",149.999,-9.67147,"aree1239"
"gapa1238",0.460807394476727,0.157771064760642,0.16925198241187,0.768340878486613,"gapa1238","1","1","0","S New Guinea",149.854,-9.73317,"gapa1238"
"weda1241",0.457406343836623,0.161402563554674,0.160916286213794,0.76938679590784,"weda1241","1","1","0","S New Guinea",150.172,-10.1246,"weda1241"
"tawa1275",0.49080189818408,0.182056101051859,0.155590205963733,0.834166305794388,"tawa1275","1","0","0","S New Guinea",150.644,-10.3115,"tawa1275"
"buhu1237",0.393348736235356,0.175703996863375,0.0969721503682049,0.756902977992594,"buhu1237","1","0","0","S New Guinea",150.18,-10.5074,"buhu1237"
"mais1250",0.359083234445843,0.165667386020704,0.093157073859764,0.712997646261608,"mais1250","1","0","0","S New Guinea",148.731,-9.22853,"mais1250"
"baba1268",0.209373167937499,0.147348367555164,0.0236156521156819,0.574083243874669,"baba1268","0","0","0","Oceania",157.149,-7.22281,"baba1268"
"sisi1250",0.20536399316323,0.147032387803051,0.0231247934815064,0.574063499578187,"sisi1250","0","0","0","Oceania",156.83,-7,"sisi1250"
"hoav1238",0.226930740186104,0.147517754820657,0.0314192587635458,0.584312381154436,"hoav1238","0","0","0","Oceania",157.595,-8.19679,"hoav1238"
"kusa1251",0.220607053100162,0.143948410657197,0.0309687123356309,0.568702244753313,"kusa1251","0","0","0","Oceania",157.463,-8.04056,"kusa1251"
"rovi1238",0.230048520324809,0.148437293987715,0.0321019802468197,0.580352150851448,"rovi1238","0","0","0","Oceania",157.408,-8.20493,"rovi1238"
"blab1237",0.470942796997289,0.17541710138692,0.151120623026821,0.807951320782066,"blab1237","0","1","0","Oceania",159.419,-8.15058,"blab1237"
"koko1269",0.450237107313988,0.179400325485921,0.132570467533569,0.805237642085957,"koko1269","0","1","0","Oceania",159.191,-8.16481,"koko1269"
"chek1238",0.468937423560238,0.173199072298708,0.151887829802597,0.802484244352142,"chek1238","0","0","0","Oceania",159.625,-8.27055,"chek1238"
