"","Estimate","Est.Error","Q2.5","Q97.5","Glottocode","Verb_final","Free_word_order","Nominal_case","AUTOTYP_area","Longitude","Latitude","Glottocode2"
"hame1242",0.896540560978656,0.203636586238224,0.215769462864423,0.999999994810233,"hame1242","1","1","1","Greater Abyssinia",36.5176,5.06515,"hame1242"
"ikkk1242",0.640178335416461,0.299686616076802,0.044618667851719,0.996379093236045,"ikkk1242","0","0","1","S Africa",34.2507,3.61407,"ikkk1242"
"sooo1256",0.366791483386347,0.299569763337535,0.00422474178863275,0.957877708257054,"sooo1256","0","0","0","S Africa",34.7595,2.58367,"sooo1256"
"hoaa1235",0.09309562982512,0.195806638459697,7.90397230871236e-10,0.763726557538389,"hoaa1235","0","0","0","S Africa",24.69828,-23.93447,"hoaa1235"
"motu1246",0.0973468292308359,0.106956032347843,0.00370145235793725,0.411635720539342,"motu1246","1","1","0","S New Guinea",147.424,-9.67492,"motu1246"
"lala1268",0.0937997066722526,0.102825208589907,0.0037203847932889,0.389318060356749,"lala1268","1","0","0","S New Guinea",146.749,-8.93195,"lala1268"
"meke1243",0.09259316119538,0.102149155975911,0.00382415893425194,0.387669216353156,"meke1243","1","1","0","S New Guinea",146.586,-8.23853,"meke1243"
"waim1251",0.0931335281756569,0.102594681768088,0.00377328516477497,0.387620197831986,"waim1251","1","1","0","S New Guinea",146.544,-8.67145,"waim1251"
"hula1239",0.271628847703847,0.193227529255401,0.0263127167657636,0.732908153853791,"hula1239","1","1","1","S New Guinea",147.705,-9.99427,"hula1239"
"keap1239",0.272193283833458,0.193495689287214,0.0266218507953753,0.736223380328992,"keap1239","1","1","1","S New Guinea",147.95,-10.1342,"keap1239"
"sina1266",0.177714621168295,0.154149999052538,0.0119006438311541,0.588263596433416,"sina1266","1","1","0","S New Guinea",147.861,-9.79791,"sina1266"
"kili1267",0.0826511176107342,0.101402688507477,0.00233361936010964,0.376178258208074,"kili1267","0","0","0","S New Guinea",151.072,-8.72574,"kili1267"
"misi1243",0.0826505977455928,0.101262199604876,0.00242116555903213,0.383611987993952,"misi1243","1","1","0","S New Guinea",152.696,-10.6821,"misi1243"
"idun1242",0.0446323877856895,0.0678900529769131,0.000616909190253186,0.246053302533067,"idun1242","1","1","0","S New Guinea",150.24,-9.34361,"idun1242"
"kolu1245",0.0444533939822719,0.0689699530892362,0.000620693142658291,0.247020828735212,"kolu1245","1","1","0","S New Guinea",150.462,-9.42742,"kolu1245"
