"","Estimate","Est.Error","Q2.5","Q97.5","Glottocode","Verb_final","Free_word_order","Nominal_case","AUTOTYP_area","Longitude","Latitude","Glottocode2"
"hame1242",0.655800566709481,0.0763933502932802,0.450567470934215,0.780281106953348,"hame1242","1","1","1","Greater Abyssinia",36.5176,5.06515,"hame1242"
"ikkk1242",0.656099023719788,0.0747197870428546,0.454842054901843,0.782290590597051,"ikkk1242","0","0","1","S Africa",34.2507,3.61407,"ikkk1242"
"sooo1256",-0.32175785726237,0.0657856546971288,-0.458164941785753,-0.167342931896451,"sooo1256","0","0","0","S Africa",34.7595,2.58367,"sooo1256"
"hoaa1235",-0.322711836883102,0.065179132061398,-0.461976021499776,-0.171268648300642,"hoaa1235","0","0","0","S Africa",24.69828,-23.93447,"hoaa1235"
"motu1246",-0.321967700970656,0.0642378812224788,-0.45882222060798,-0.169312946653798,"motu1246","1","1","0","S New Guinea",147.424,-9.67492,"motu1246"
"lala1268",-0.322739673256375,0.064884570644458,-0.456249670817325,-0.168089336148029,"lala1268","1","0","0","S New Guinea",146.749,-8.93195,"lala1268"
"meke1243",-0.323668268584258,0.0662715712809314,-0.467926817084026,-0.173669200385719,"meke1243","1","1","0","S New Guinea",146.586,-8.23853,"meke1243"
"waim1251",-0.322523740244172,0.064097153305228,-0.460939689111452,-0.173601051342614,"waim1251","1","1","0","S New Guinea",146.544,-8.67145,"waim1251"
"hula1239",0.656557318055462,0.0740751873413134,0.458856777590384,0.783405489108562,"hula1239","1","1","1","S New Guinea",147.705,-9.99427,"hula1239"
"keap1239",0.65584861283423,0.0742840740409826,0.456701729443955,0.780875594074635,"keap1239","1","1","1","S New Guinea",147.95,-10.1342,"keap1239"
"sina1266",-0.323035027933613,0.0667741728229897,-0.468238785715694,-0.165335667832731,"sina1266","1","1","0","S New Guinea",147.861,-9.79791,"sina1266"
"kili1267",-0.322623450917611,0.0655913445543956,-0.462053807678033,-0.169835946749981,"kili1267","0","0","0","S New Guinea",151.072,-8.72574,"kili1267"
"misi1243",-0.322822359707131,0.0636645688977195,-0.458805152076991,-0.176046868470491,"misi1243","1","1","0","S New Guinea",152.696,-10.6821,"misi1243"
"idun1242",-0.323514720102035,0.0660633380484601,-0.463104828070277,-0.170875251557426,"idun1242","1","1","0","S New Guinea",150.24,-9.34361,"idun1242"
"kolu1245",-0.323491691045082,0.0656862259622571,-0.463054903035724,-0.17451050227703,"kolu1245","1","1","0","S New Guinea",150.462,-9.42742,"kolu1245"
"iama1237",-0.323279932831347,0.0642453640422108,-0.459497005622359,-0.175984026612235,"iama1237","1","1","0","S New Guinea",150.573,-9.45005,"iama1237"
"buna1276",-0.32254365327399,0.0649040519242206,-0.460304608423449,-0.170854568137996,"buna1276","1","1","0","S New Guinea",151.066,-10.0761,"buna1276"
"dobu1241",-0.323015112019669,0.0658916379121223,-0.467052615626313,-0.167775629003075,"dobu1241","1","1","0","S New Guinea",150.825,-9.63239,"dobu1241"
"guma1254",-0.322487729686688,0.0655879944841014,-0.459784483647082,-0.167673496945299,"guma1254","1","0","0","S New Guinea",150.762,-9.28497,"guma1254"
"aree1239",-0.323454319179385,0.0657949118460253,-0.460465278029201,-0.168028712178178,"aree1239","1","0","0","S New Guinea",149.999,-9.67147,"aree1239"
"gapa1238",-0.322733307257974,0.0656403462677947,-0.460603297457581,-0.170861708648306,"gapa1238","1","1","0","S New Guinea",149.854,-9.73317,"gapa1238"
