"","Estimate","Est.Error","Q2.5","Q97.5","Glottocode","Verb_final","Free_word_order","Nominal_case","AUTOTYP_area","Longitude","Latitude","Glottocode2"
"hame1242",0.605261836240741,0.0852728462883259,0.375034563639296,0.752723110457613,"hame1242","1","1","1","Greater Abyssinia",36.5176,5.06515,"hame1242"
"ikkk1242",-0.368738672876356,0.0783699787653035,-0.530320733399085,-0.176260690389466,"ikkk1242","0","0","1","S Africa",34.2507,3.61407,"ikkk1242"
"sooo1256",-0.36882548256635,0.0780693575997315,-0.527162042268182,-0.178279200025041,"sooo1256","0","0","0","S Africa",34.7595,2.58367,"sooo1256"
"hoaa1235",-0.368373870974431,0.076188492048802,-0.524416073382187,-0.181215716015276,"hoaa1235","0","0","0","S Africa",24.69828,-23.93447,"hoaa1235"
"motu1246",0.604124885167106,0.0849838007665104,0.377446906064517,0.747868479618296,"motu1246","1","1","0","S New Guinea",147.424,-9.67492,"motu1246"
"lala1268",-0.368047175257107,0.0760438933576336,-0.521010195226901,-0.180206513261605,"lala1268","1","0","0","S New Guinea",146.749,-8.93195,"lala1268"
"meke1243",0.604245189233147,0.0864968621076516,0.369192222215036,0.753165913334196,"meke1243","1","1","0","S New Guinea",146.586,-8.23853,"meke1243"
"waim1251",0.603486956972059,0.0863845580610717,0.362580182040922,0.746765470016517,"waim1251","1","1","0","S New Guinea",146.544,-8.67145,"waim1251"
"hula1239",0.603861773321261,0.0868555761535789,0.369582293895722,0.749300331678764,"hula1239","1","1","1","S New Guinea",147.705,-9.99427,"hula1239"
"keap1239",0.604214309981876,0.0843728615127963,0.375821887433462,0.748000763482019,"keap1239","1","1","1","S New Guinea",147.95,-10.1342,"keap1239"
"sina1266",0.604060999253728,0.0861092794087999,0.369818100170524,0.748438682279686,"sina1266","1","1","0","S New Guinea",147.861,-9.79791,"sina1266"
"kili1267",-0.368377441126222,0.0763364873665415,-0.527460763389137,-0.181908221844409,"kili1267","0","0","0","S New Guinea",151.072,-8.72574,"kili1267"
"misi1243",0.603325310144214,0.0857095517381389,0.370246220108901,0.747215585156504,"misi1243","1","1","0","S New Guinea",152.696,-10.6821,"misi1243"
"idun1242",0.603906901405406,0.0866637407261796,0.371262868331316,0.750935026560001,"idun1242","1","1","0","S New Guinea",150.24,-9.34361,"idun1242"
"kolu1245",0.603387330905426,0.0860192350184601,0.3667350827607,0.746594058259464,"kolu1245","1","1","0","S New Guinea",150.462,-9.42742,"kolu1245"
