"","Estimate","Est.Error","Q2.5","Q97.5","Glottocode","Verb_final","Free_word_order","Nominal_case","AUTOTYP_area","Longitude","Latitude","Glottocode2"
"hame1242",0.366209363353827,0.248427236142351,0.0237560728158295,0.881305816161297,"hame1242","1","1","1","Greater Abyssinia",36.5176,5.06515,"hame1242"
"ikkk1242",-0.0743852230840727,0.152229288711918,-0.592712084870062,-4.32321292798703e-06,"ikkk1242","0","0","1","S Africa",34.2507,3.61407,"ikkk1242"
"sooo1256",-0.0635702338957036,0.14071997980938,-0.535807488368451,-2.38583699504699e-06,"sooo1256","0","0","0","S Africa",34.7595,2.58367,"sooo1256"
"hoaa1235",-0.061031047368636,0.13456335508329,-0.521779483005246,-2.02111311610526e-06,"hoaa1235","0","0","0","S Africa",24.69828,-23.93447,"hoaa1235"
"motu1246",0.0210837375954662,0.0568438796156404,3.09940614356685e-06,0.180843345103772,"motu1246","1","1","0","S New Guinea",147.424,-9.67492,"motu1246"
"lala1268",0.0223167219234742,0.062618199905577,3.37206679218993e-06,0.206349884471597,"lala1268","1","0","0","S New Guinea",146.749,-8.93195,"lala1268"
"meke1243",0.0366523410750299,0.0791407189894501,2.69280439645692e-05,0.277300418529349,"meke1243","1","1","0","S New Guinea",146.586,-8.23853,"meke1243"
"waim1251",0.0270780311648983,0.0692633452240977,5.14411802536308e-06,0.234117518428592,"waim1251","1","1","0","S New Guinea",146.544,-8.67145,"waim1251"
"hula1239",0.0347750518690122,0.0785556020034799,7.46888082526209e-06,0.28086952857574,"hula1239","1","1","1","S New Guinea",147.705,-9.99427,"hula1239"
"keap1239",0.0585860184297217,0.117892100852301,1.4882388859927e-05,0.444153947150283,"keap1239","1","1","1","S New Guinea",147.95,-10.1342,"keap1239"
"sina1266",0.0233420973589238,0.0554027396528243,7.00671823367915e-06,0.183612523974931,"sina1266","1","1","0","S New Guinea",147.861,-9.79791,"sina1266"
"kili1267",-0.354808563758967,0.296219168889167,-0.949321515321397,-0.00358856631549686,"kili1267","0","0","0","S New Guinea",151.072,-8.72574,"kili1267"
